sdm,target,layer,r2_test
sdm-dvector,sdm-mpm,22,-0.7947819828987122
sdm-dvector,sdm-mpm,23,-0.8841915130615234
sdm-dvector,sdm-mpm,24,0.2766452133655548
sdm-dvector,sdm-pitch,0,0.21530073881149292
sdm-dvector,sdm-pitch,1,0.016012191772460938
sdm-dvector,sdm-pitch,2,0.056583404541015625
sdm-dvector,sdm-pitch,3,-0.1437922716140747
sdm-dvector,sdm-pitch,4,-0.31271493434906006
sdm-dvector,sdm-pitch,5,-0.24844884872436523
sdm-dvector,sdm-pitch,6,-0.15864765644073486
sdm-dvector,sdm-pitch,7,0.012189686298370361
sdm-dvector,sdm-pitch,8,-0.3244978189468384
sdm-dvector,sdm-pitch,9,-0.3579946756362915
sdm-dvector,sdm-pitch,10,-0.15697979927062988
sdm-dvector,sdm-pitch,11,-0.08671379089355469
sdm-dvector,sdm-pitch,12,-0.1688934564590454
sdm-dvector,sdm-pitch,13,-0.27383923530578613
sdm-dvector,sdm-pitch,14,-0.5430417060852051
sdm-dvector,sdm-pitch,15,-0.3949493169784546
sdm-dvector,sdm-pitch,16,-0.7883056402206421
sdm-dvector,sdm-pitch,17,-0.7362172603607178
sdm-dvector,sdm-pitch,18,-0.6323666572570801
sdm-dvector,sdm-pitch,19,-0.7409454584121704
sdm-dvector,sdm-pitch,20,-0.6197372674942017
sdm-dvector,sdm-pitch,21,-0.5578118562698364
sdm-dvector,sdm-pitch,22,-0.716252326965332
sdm-dvector,sdm-pitch,23,-1.099181890487671
sdm-dvector,sdm-pitch,24,0.3518581986427307
sdm-dvector,sdm-speaking-rate,0,1.0
sdm-dvector,sdm-speaking-rate,1,1.0
sdm-dvector,sdm-speaking-rate,2,1.0
sdm-dvector,sdm-speaking-rate,3,1.0
sdm-dvector,sdm-speaking-rate,4,1.0
sdm-dvector,sdm-speaking-rate,5,1.0
sdm-dvector,sdm-speaking-rate,6,1.0
sdm-dvector,sdm-speaking-rate,7,1.0
sdm-dvector,sdm-speaking-rate,8,1.0
sdm-dvector,sdm-speaking-rate,9,1.0
sdm-dvector,sdm-speaking-rate,10,1.0
sdm-dvector,sdm-speaking-rate,11,1.0
sdm-dvector,sdm-speaking-rate,12,1.0
sdm-dvector,sdm-speaking-rate,13,1.0
sdm-dvector,sdm-speaking-rate,14,1.0
sdm-dvector,sdm-speaking-rate,15,1.0
sdm-dvector,sdm-speaking-rate,16,1.0
sdm-dvector,sdm-speaking-rate,17,1.0
sdm-dvector,sdm-speaking-rate,18,1.0
sdm-dvector,sdm-speaking-rate,19,1.0
sdm-dvector,sdm-speaking-rate,20,1.0
sdm-dvector,sdm-speaking-rate,21,1.0
sdm-dvector,sdm-speaking-rate,22,1.0
sdm-dvector,sdm-speaking-rate,23,1.0
sdm-dvector,sdm-speaking-rate,24,1.0
sdm-dvector,sdm-mwhisper,0,-0.10047932714223862
sdm-dvector,sdm-mwhisper,1,-0.35016846656799316
sdm-dvector,sdm-mwhisper,2,-0.40072134137153625
sdm-dvector,sdm-mwhisper,3,-0.4648331105709076
sdm-dvector,sdm-mwhisper,4,-0.5462509989738464
sdm-dvector,sdm-mwhisper,5,-0.6285163164138794
sdm-dvector,sdm-mwhisper,6,-0.5837242007255554
sdm-dvector,sdm-mwhisper,7,-0.5246627926826477
sdm-dvector,sdm-mwhisper,8,-0.5040022730827332
sdm-dvector,sdm-mwhisper,9,-0.4241615831851959
sdm-dvector,sdm-mwhisper,10,-0.398741751909256
sdm-dvector,sdm-mwhisper,11,-0.34687307476997375
sdm-dvector,sdm-mwhisper,12,-0.35333719849586487
sdm-dvector,sdm-mwhisper,13,-0.3418140411376953
sdm-dvector,sdm-mwhisper,14,-0.36573806405067444
sdm-dvector,sdm-mwhisper,15,-0.3649374544620514
sdm-dvector,sdm-mwhisper,16,-0.40533193945884705
sdm-dvector,sdm-mwhisper,17,-0.4309937655925751
sdm-dvector,sdm-mwhisper,18,-0.5210824012756348
sdm-dvector,sdm-mwhisper,19,-0.6012309193611145
sdm-dvector,sdm-mwhisper,20,-0.6614840626716614
sdm-dvector,sdm-mwhisper,21,-0.7746465802192688
sdm-dvector,sdm-mwhisper,22,-0.8846790194511414
sdm-dvector,sdm-mwhisper,23,-1.0435343980789185
sdm-dvector,sdm-mwhisper,24,0.13696403801441193
sdm-dvector,sdm-w2v2-asr,0,0.03982245922088623
sdm-dvector,sdm-w2v2-asr,1,-0.1750122606754303
sdm-dvector,sdm-w2v2-asr,2,-0.2207726687192917
sdm-dvector,sdm-w2v2-asr,3,-0.20808884501457214
sdm-dvector,sdm-w2v2-asr,4,-0.26137644052505493
sdm-dvector,sdm-w2v2-asr,5,-0.3342980742454529
sdm-dvector,sdm-w2v2-asr,6,-0.303927481174469
sdm-dvector,sdm-w2v2-asr,7,-0.22108915448188782
sdm-dvector,sdm-w2v2-asr,8,-0.2646836042404175
sdm-dvector,sdm-w2v2-asr,9,-0.23573271930217743
sdm-dvector,sdm-w2v2-asr,10,-0.22553294897079468
sdm-dvector,sdm-w2v2-asr,11,-0.1897488832473755
